Timestamp,Source_IP,Destination_IP,Prediction,Confidence_Score,Detection_Time_ms,Mitigation_Time_ms,Action_Taken
2026-05-24T22:43:08.755539,10.0.164.155,victim,DDoS,0.8600,25.98,0.15,"DROP_RULE_INSTALLED(ip=10.0.164.155, priority=100, timeout=300s)"
2026-05-24T22:43:08.784596,10.0.49.85,victim,DDoS,0.8600,26.40,0.17,"DROP_RULE_INSTALLED(ip=10.0.49.85, priority=100, timeout=300s)"
2026-05-24T22:43:08.812330,10.0.147.176,victim,DDoS,0.7800,25.52,0.14,"DROP_RULE_INSTALLED(ip=10.0.147.176, priority=100, timeout=300s)"
2026-05-24T22:43:18.076327,10.0.207.227,victim,DDoS,0.8600,28.14,0.13,"DROP_RULE_INSTALLED(ip=10.0.207.227, priority=100, timeout=300s)"
2026-05-24T22:43:18.104237,10.0.233.61,victim,DDoS,0.8600,25.34,0.15,"DROP_RULE_INSTALLED(ip=10.0.233.61, priority=100, timeout=300s)"
2026-05-24T22:43:18.131201,10.0.12.191,victim,DDoS,0.5200,25.17,0.14,"DROP_RULE_INSTALLED(ip=10.0.12.191, priority=100, timeout=300s)"
2026-05-24T22:45:34.415530,10.0.228.117,victim,DDoS,0.8600,27.16,0.14,"DROP_RULE_INSTALLED(ip=10.0.228.117, priority=100, timeout=300s)"
2026-05-24T22:45:34.444780,10.0.111.104,victim,DDoS,0.8600,26.55,0.15,"DROP_RULE_INSTALLED(ip=10.0.111.104, priority=100, timeout=300s)"
2026-05-24T22:45:34.473613,10.0.213.243,victim,DDoS,0.8600,25.93,0.12,"DROP_RULE_INSTALLED(ip=10.0.213.243, priority=100, timeout=300s)"
2026-05-24T22:45:34.503185,10.0.148.127,victim,DDoS,0.8600,27.06,0.19,"DROP_RULE_INSTALLED(ip=10.0.148.127, priority=100, timeout=300s)"
2026-05-24T22:45:34.533753,10.0.152.240,victim,DDoS,0.8600,27.36,0.21,"DROP_RULE_INSTALLED(ip=10.0.152.240, priority=100, timeout=300s)"
2026-05-24T22:45:34.564881,10.0.139.56,victim,DDoS,0.8600,27.71,0.20,"DROP_RULE_INSTALLED(ip=10.0.139.56, priority=100, timeout=300s)"
2026-05-24T22:45:34.593860,10.0.174.202,victim,DDoS,0.8600,26.02,0.17,"DROP_RULE_INSTALLED(ip=10.0.174.202, priority=100, timeout=300s)"
2026-05-24T22:45:34.625014,10.0.228.9,victim,DDoS,0.8600,28.01,0.34,"DROP_RULE_INSTALLED(ip=10.0.228.9, priority=100, timeout=300s)"
